ID,target
000137c73,1875274.4124690252
00021489f,1283625.5206039227
0004d7953,1448142.8549126235
00056a333,5414741.163381341
00056d8eb,1438945.5033830227
0005fc190,3115506.5607870286
000787e86,1360200.9833835056
0008510a0,2005600.2413890345
000895faf,3022261.5621914486
000986fba,1915948.9295361615
0009efcc5,19974318.829386253
000dd8f00,12977480.788066633
000e1cdc2,1568345.1474035787
00103739c,2572167.0646807337
00134b367,1360678.0583708868
001788d0d,1891288.9158412102
0019c8ad7,2080387.3185571828
001a267b9,809450.1248438249
001a85486,1619060.8934226166
001c4de06,2366875.4661958003
001f9014b,3289753.951824313
00216fb94,4909262.070009806
00235690e,3605764.087965668
00240739d,8877438.35353743
0024c3747,1644700.4392417674
00297052d,1606771.5389422649
002ab8f85,1220099.637682542
002bed5c0,1897117.1666666064
002bf3974,3280773.069689093
002d23a26,2214975.501258612
002f27de9,2344907.108775461
0030d8bb4,2952109.559520861
003146acd,1461808.5771943657
003223263,1200587.4329314232
00335575e,2887732.0215578647
00337cf9d,3066007.360377012
003394397,2290095.708885295
0036358a3,4254862.08403967
003770d30,2862159.5189419705
003bed5ea,890383.9742923025
003ea6427,1784811.1192399361
003ef8132,7922420.058467902
003fd1723,2884834.495134502
0041861b4,2888858.8895121487
0042b718b,2862134.3202857077
004381d8f,3815062.0317330947
0043ca764,2519086.14279741
004486837,386641.32806818734
0045c123e,4018169.027424198
0048915c6,3508013.5071891425
004ab9a09,2881841.1658971193
004b2e1c9,4021844.5571054732
004c54732,1349344.8299978687
004cdefce,6247534.825911874
004dd971b,2012177.488233041
004f9329b,1146104.6929000535
004fd2bca,1244571.5353824107
0054bfedb,1275182.6360640195
0054ec58a,370034.0228580239
00551f45d,19859156.113530543
005777b4c,2422389.4433975387
00578d6ea,1803229.7597572226
005802488,1752600.253117297
0059833b6,2750654.6192779997
005a70085,2098358.129850848
005b148a0,3507490.3677094076
005c28df4,1726322.4958402202
005f8dc26,3225463.732251864
00603c202,4157399.514058943
006049609,5949511.293880563
00612f47e,793294.3666591721
00647a57f,6688753.217714619
0065853ee,2388822.639726623
006589d5e,12569576.018479582
006598823,9904883.497861924
0065c093c,1542503.0163093521
006738351,2345435.0715951445
006a0c6a8,1454040.3127951068
006e9efe6,2577674.218555
006f029d3,799601.0595059094
0070f35a2,3078774.031263247
007135f85,6076075.370605385
007285433,39756391.56292123
00735e101,2571298.0080909673
0074ecf4e,3599160.3096448034
007635fa9,1112099.9819880223
007723613,3418795.7381307324
007867da9,712795.5135801368
0078bfbd6,736702.2926814791
0078ce229,601069.3653870753
007a89d50,3511750.2282009814
007d43dfa,2591326.4788442985
007ee9e05,2193652.841578871
007ffeae2,2502440.1751449527
00835c85c,1759754.8355226067
0084b08f1,2065188.0160244051
0087fb290,1221409.6926432801
0088a96bd,2785571.997521984
008ac4292,2459756.2364546484
008d8cca8,2251279.7089080205
008e07b8c,2590387.9798557404
008e5e25a,2605852.187355154
0094edcdb,943442.392152662
00950141c,2219297.7777900435
009566ef1,2045386.172636789
0095c81d4,1877215.3512560246
0097a6ed4,12200518.148029178
0098fef9a,1689106.856855114
009b321ec,7089439.108110828
009cd681e,3458834.231042026
009f34f86,1366509.0720372684
009f35cd3,1456530.2850457467
009f65109,5968015.9998399895
00a19014a,17633662.174506217
00a27e76a,366524.8364429719
00a3b6ef7,1591002.8279318872
00a427603,1212684.8210943379
00a6dc8be,2041785.117047828
00a811734,9945241.892194364
00a8f58a7,8230121.469858119
00aaae151,2617699.5633821352
00ab17f67,2208911.6944880737
00ac2d3a5,1881151.950689182
00adab1b6,1649702.670125293
00aef0d56,394101.7009345717
00b0b06c4,2111008.7929077726
00b0e2303,532386.2573434277
00b1fbbc9,462764.10714570107
00b43e0c1,3876327.360193713
00b7190a8,2590787.8485076893
00b722e1b,200367.34281880682
00bba815f,2445708.9336853437
00bbb1c42,2858127.359927396
00bc2b665,1868010.6843039119
00bc35689,2845941.632115999
