ID,target
000137c73,1374616.8412722605
00021489f,1572225.842584777
0004d7953,1768707.1321679798
00056a333,3886649.432188178
00056d8eb,1638840.144238203
0005fc190,1488305.8529948113
000787e86,1658941.8979068613
0008510a0,1707175.0420684188
000895faf,1509341.394771187
000986fba,2106020.34954152
0009efcc5,1443261.2877911623
000dd8f00,1601942.5007310417
000e1cdc2,1420260.8227042214
00103739c,1476692.057833793
00134b367,1485936.5824815382
001788d0d,891152.980473384
0019c8ad7,2146883.1537053487
001a267b9,1003158.5814365846
001a85486,1410506.824330858
001c4de06,2265327.615067586
001f9014b,1609481.089695587
00216fb94,1574948.8053860902
00235690e,1606737.1166202663
00240739d,1657463.9982101317
0024c3747,1501823.1503080232
00297052d,1460591.8880842035
002ab8f85,1582440.0864331103
002bed5c0,1509235.9948909278
002bf3974,5599636.01519842
002d23a26,1616753.320586199
002f27de9,1410431.3348968064
0030d8bb4,2037169.0152671167
003146acd,1560259.0009286355
003223263,1354356.332470302
00335575e,1520818.045739163
00337cf9d,3022070.9752468322
003394397,1606210.4481547072
0036358a3,1678918.5874053393
003770d30,1309791.2385415325
003bed5ea,1560451.8649087893
003ea6427,2524998.7113494338
003ef8132,1481286.0860545244
003fd1723,1235352.202788368
0041861b4,970800.9643096065
0042b718b,1340789.9011665788
004381d8f,2852666.4402565323
0043ca764,1566890.707574702
004486837,1641065.1193149383
0045c123e,1923494.556895612
0048915c6,1659596.3546805377
004ab9a09,2098773.724248086
004b2e1c9,3758358.464549074
004c54732,927451.8194603114
004cdefce,1566272.8811863973
004dd971b,3673704.5447593383
004f9329b,1576570.5077773058
004fd2bca,1359702.7831071024
0054bfedb,1158811.1214030813
0054ec58a,492443.6256252923
00551f45d,6135816.764379962
005777b4c,918272.145616207
00578d6ea,1564102.535733285
005802488,1020164.4115005289
0059833b6,398852.72268514446
005a70085,1575674.6933884493
005b148a0,1621883.0636812774
005c28df4,2075981.8608994079
005f8dc26,1560578.5362440571
00603c202,4877477.132244118
006049609,1505335.8721364527
00612f47e,1633726.0872493994
00647a57f,1513958.650425675
0065853ee,1638143.3764606188
006589d5e,1282031.7106375238
006598823,2370656.9249318726
0065c093c,2187870.456211916
006738351,947176.4045845538
006a0c6a8,2082944.840297704
006e9efe6,1265152.750139176
006f029d3,1636845.4716508347
0070f35a2,1540529.5742587214
007135f85,1638143.3764606188
007285433,4073639.2754360563
00735e101,1599955.6583071733
0074ecf4e,1586605.1934556982
007635fa9,1623813.4219562847
007723613,1725584.9774934535
007867da9,1629756.0067286608
0078bfbd6,721698.4389177607
0078ce229,1633006.9948145333
007a89d50,1518343.0036138124
007d43dfa,1557746.3425900338
007ee9e05,1552461.2567363926
007ffeae2,1450359.0292330543
00835c85c,1577472.2628592278
0084b08f1,1648587.6984065457
0087fb290,1671700.5690864152
0088a96bd,1876169.1850173727
008ac4292,2816319.295941713
008d8cca8,1564955.14435137
008e07b8c,1302173.7482912734
008e5e25a,2921701.312932806
0094edcdb,3063629.118069539
00950141c,1649650.5241792877
009566ef1,2979235.2718123593
0095c81d4,1638143.3764606188
0097a6ed4,2049622.7392636596
0098fef9a,1177870.9855053239
009b321ec,3550193.098106748
009cd681e,1497301.9478389956
009f34f86,1638165.3117022342
009f35cd3,1508043.6372294342
009f65109,3928753.523147419
00a19014a,1644386.201959938
00a27e76a,719795.2130904051
00a3b6ef7,1870806.4993574456
00a427603,1191029.5378779587
00a6dc8be,1577283.4081182198
00a811734,5004240.249153738
00a8f58a7,1635020.9887195982
00aaae151,1441998.204929692
00ab17f67,1506158.2989879746
00ac2d3a5,1497036.461513791
00adab1b6,1959014.48094272
00aef0d56,1590248.172391541
00b0b06c4,1189286.9728191933
00b0e2303,1444217.472895382
00b1fbbc9,855709.639583128
00b43e0c1,3533806.9744449332
00b7190a8,1641882.705252755
00b722e1b,1473973.2035024725
00bba815f,1479655.6403256194
00bbb1c42,1613223.7573865012
00bc2b665,1564732.664313816
00bc35689,1756714.2655039527
00be23f52,4607722.588827249
00be24ac5,1678792.6146498632
00bfd0f70,1360490.7483850103
00c02f73e,1884922.9173014024
00c08e5b3,1419477.3208424184
00c8690ff,1373826.7529969634
00c8df4d5,1995476.576141561
00c8e30de,1455881.0823298434
00ca3fb04,1391105.3284775054
00cabf621,1603278.8256222492
00cb48ae3,1484477.5904632537
00cb6b147,1323909.8516436731
00cc91a22,2506221.0845091473
00cd65e9d,2480485.8952877354
00cd7d6a8,1068183.2667325668
00cdc1483,1651367.3772075055
00ce9bea5,1994536.8721593255
00cea0091,2217030.026258199
00cea68c6,1336392.869210703
00d5a5975,1910944.7307629029
00d80a3a4,12245240.291502317
00d9f3864,802515.2432018133
00da4bd31,1565574.9877946589
00df4dd77,1538880.6523117358
00e1a55bf,1641006.2049578968
00e332971,1620008.9424625433
00e5b6b1b,2620407.9053657055
00e85d5e3,1418728.7937147734
00e90abfa,1981121.181004594
00e9708b4,1666803.5515798316
00e9c680f,5257853.396032921
00eaa4394,1697809.758649461
00eae8832,2150263.3520262246
00ebefdc0,1614178.8912870516
00ecbcb1b,933295.446602888
00ed49382,5015511.6548009375
00ed87564,1606044.0376046882
00ef96cfd,116228.67354370121
00efe7ca3,1566499.04221248
00f36aa18,1637837.4514606188
00f3fb071,1399859.8107039274
00f43f548,1562281.3932673144
00f4d58ec,1570063.2188093904
00f56e106,1505726.8661481538
00f84d8c2,1283909.6876141557
00f92953b,1638143.3764606188
00fa1d469,2739770.324823372
00ff96f49,2302985.738285171
0100ce0d8,3202301.306568629
0102ea9e1,1493073.447836004
0104b3af3,1410061.8021175798
010672441,1638143.3764606188
010771ca5,1725258.8885768142
0108aea9f,1633689.4450200328
010a479e1,1261989.6996300593
010d0a2dd,5231977.6507509025
010e3cea2,1635287.3165027765
010e5417b,1050620.303730278
01108a561,396065.4542783792
0110cca98,803679.6835784123
011449698,1531175.1196513171
0114795f0,2415289.120570084
011626c20,6058828.506656546
0117c8f27,1338215.2196291876
0117dcb47,2881995.356797335
0118c34be,2050150.8184932726
0119efcb9,1205831.135626688
011a58e13,1645224.1606270636
011b7902b,7181536.487339018
011ca122e,4612505.597124035
012053244,1725434.635711046
0122a258e,717495.6169025255
0122a4305,1642922.743119937
01230d8ba,1638143.3764606188
012414f4e,890847.0668717008
012452125,1024533.9968687703
0124529b5,1120583.154548588
012556288,2944195.867175298
01257c24c,1417482.0912636667
01258b972,1636878.4511910945
0125b64db,1642939.5283122116
01295ef92,1512881.9777161274
012a2752f,1579040.832269898
012b6ba95,2127749.012388461
012b96b58,1451998.7529927837
012e881b9,1593409.0702809426
012f25e94,1515236.9734409985
012fa70bb,1690143.472644527
01304fc0a,1338453.0781581055
013230913,1330119.3099600305
01336ceb8,1464069.7568978579
0133b85e7,1964934.9071878172
0136f8766,1945121.7059202904
0137356b9,1538226.808661107
013750184,545847.6960592475
013a3f07c,1570638.1314466475
013cc1c13,1557283.5691948002
013e96334,1752450.6431904025
013fae0b1,1637945.5798818897
014076343,1652849.9282355388
